Dialetto,Italiano
Scottar  a  l'  u.,usciolare.  Chi  scolta  ai
».,tisciaiolo.
usà,"non  nuovo,  usato,  adoperato;  av¬"
usàbile,"usàbile,  adoperabile;  adatto,"
uéar,"usare;  adoperare;  assuefare,  avvez¬"
zare.  C/sarse,"avvezzarsi,  assuefarsi,  usar¬"
terattaio.  Molar  r  u.,"aprire,  alzare  la"
’usariòl,"sportellino,"
ùsaro,fissero  ( milit .).
user,uscière;  messo  e  pure  uscière  (di
usét,"uscetto,  uscioletto,  usciolino.  U.  de  la"
usatln,"uscettino,  usciolino,"
usma,"odorato,  amuiào,  fiuto  (spec.  d’  a-"
"tèndersene,  aver  naso.  Aver  ».  de",avere
"""usmada","fiutata,  annusata."
*usmar,"odorare,  fiutare,  annusare.  Cagn"
che  usma,"che  sente  la  passata.  U.,  nar"
usmànd  (fig.),andar  raccattando  le
'usmón,"bracone,  fiutone,"
uso,"uso,  uàanza  (piuttosto  di  cose)-,  co¬"
Se  ciapa  co  V  ».,usucapione.  Mo  eserghe
pn  l'u.,"disuso,  dissuetudiue."
usòt,"uscetto,  usciolino,"
usta,"odor  di  selvaggina,  passata  (in  più"
su  1'  ».,sentir  la  passata.  El  sbraiar  dei
cagni  su  l’u.,"guattire,  scagnare,  schiattire,"
"usuai  Ineoi,  )","usuale;  ordinario,  consueto,"
uéufrutuar,"uàufruttuaro;  sfruttare,"
usufrutuari,"usufruttuario,"
usura,"usura;  strozzatura,"
usurari,"usuraio,  strozzino."
usurpamént,"usurpazione,  usurpamento;"
usurpar,"usurpare;  carpire,"
util  (agg.),"ùtile,  vantaggioso,  profittévole,"
util  (sost.),"utile,  guadagno,  lucro,  donde"
utilità,"utilità,  vantaggio,  profiLto."
utilizar  (ncol.  ),"trarre  utilità,  utilizzare,"
utilmént,"utilmente,  vantaggiosamente."
'uz  !,incitamento  ai  cani  contro  qualcu¬
'uzada,aizzamento;  incitamento.
’uzar,"aizzare,  donde  aizzatore  ;  eccitare,"
vaca,"vacca,  se  giovane  giovenca;  in"
molto  latte,"vacca,  mucca  lattaia;  che"
"ne  dà  poco,  essendo  vicina  a  figliare",v.
'n  tati  a  far,vacca  nel  mese;  pronta  -
prossima  al  parlo.  V.,termine  inginr.
Nar  co  le  v.,badare  le  vacche  {al  pascolo).
vaca,malattia  del  baco.  V.  cavalcr.
Vaca  ( mst .),"curva,  incavatura,  conca."
Far  v.,incurvarsi.
vacanza,vacanza;  fèria.
vacaria,"Diandra  di  vacche ,  vnccareccia."
vacaro,"vaccaio,  vaccaro."
vacheta,vacchetta  (pelle).
vacina,"vaccino,  vaccinazione."
vacillar,vaccinare  (inoculare  il  vaiolo).
vatjinazión,vaccinazione.
/acona,"grande  vacca ,  vaccc.na,  anche  fig."
'vacòta,"vaccherella,  vacchina  ;  giovenca."
vacuar  ( neol .),"evacuare,  vuotare."
’vad,"guado  (lat.  vatum,  piar.  vata).  Po¬"
sar  el  v.,guadare.  V.  vada  nel  2  luogo.
"""vada","posta,  invito  (al  gioco  della  palla  eie.)."
"cer,  nar,  parlar  fùr  del  v.","esser  fuori,"
*vadio  (burocr.),"cauzione;  depòsito,"
vagabondar,vagabondare;  oziare.  El  v.
vagabondo,vagabondo;  oziosaccio.  Far
el  v.,vagabondare.
'vaga  che,"lasciamo  andare,  che  vada,"
vaghegiamént  (neol.),vagheggiamento.
vaghegiar(nea/.l,"vagheggiare,  donde  vagheg¬"
"giatore,  vagheggino.  Vaghegiarse",vagheg¬
"di  gran  conto.  V"".  postale",vaglia  etc.
vago,"vago,  indeterminato;  sclonclusionato."
’vagón,vettura  (di  ferrovia  spec.  per  le
'vaión,"squarcio,  strappo  (in  una  stoffa );"
vairón,vairone  (pesce) .
*vaiùp,"inviluppo,  garbuglio."
'vai  (masch.),vassoi»  (per  sventolare  il
vai  (femm.),"valle,  avvallamento.  V.  che"
sboca  ’n  le  n  altra,convalle.  Abitante
de  na  v.,"valligiano,"
valada,vallata.
valanga,valanga  ( di  neve);  anco  per  sla¬
'valanìa,vallonèa  (de'  tintori  e  coiai).
♦valanzana,"coperta  di  lana,  pannolano,"
♦valanzanèla,piccolo  pannolano.
*valanzanón,"grande  pannolano,  grossa"
*valanz  anota,"piccolo,  meschino  panno¬"
*valdrapa,"gualdrappa,"
valer,valere  ne'  vari  sensi:  aver  valore;
costare;  contare;  equivalere.  Valerse,va¬
"lersi,  servirsi,  giovarsi.  Farse  v.",farsi
pena,"metter  conto,  valer  la  pena."
V.  tant’  oro,"valer  tant’  oro,  tant’  oro"
valeriana,"valeriana,"
valesèla,"vallicèlla,  vailetta,"
valeta,"valletta,  vallicèlla."
valévol,"valévole,  valido;  attendibile,"
vàlid,"valido,  valevole,  donde  validamente,"
validità,"validità;  vigore,"
sota,"valigia,  valigetta,  valigina,  valigiona;"
valigiuccia.  Chi  fa  o  vende  v.,valigiaio.
Botega  de  v.,valigeria.
*valón,"borro,  forra,  ( opere  deli  acqua)',"
"""valonàt","valloucèllo,  borratèllo."
valor,"valore,  pregio,  prezzo  ;  valsente,"
valorar,"dar  valore,  avvalorare;  conva¬"
*valòt,piccola  vassoia.  V.  vai  nel  l.  luogo.
valsènt,"valsènte,  valore;  contanti,"
valuta,"valuta;  contanti,"
valutar,"valutare;  stimare,  dare  impor¬"
vàlvola  (neol.),"vàlvola,"
vàlzer,valzer.
vampa,"grati  fiamma,  vampa  ;  caldura,"
vampada,vampata.
vanarèl,"vanerèllo,  vanitoso;  citrullo."
vanegiamént,"vaneggiamento,  delirio."
vanegiar,"vaneggiare,  farneticare,  peggio"
vanèsio,"vanèsio,  donde  vanesiata,  vani¬"
*vaneza,sfiartimento  rettang.  di  terra
^vanezòt,presèlla;  aioletta  (piccolo  spar¬
vanga,vanga;  badile.
vangada,vangata  (colpo  di  vanga  o  quanta
fonda).  Fondarse  a  dopta  v.,vangare  a
"due  fitte,  ripuntare.  Fbs  de  la  v.",piegaia
vangadura,vangatura.  lei  busa  che  se  fa
con  en  colp  de  V.,cavaia.  Sole  de  la  v.
-  taglio.  Enviar  el  sole  de  la  v.,aprire
"vangèli,  vangèlo","vangèlo,  evangélio.  E-"
scr  v.,"esser  cosa  certissima,  indubitabile,"
vaniglia,vainiglia.
vanità,"vanilà;  vanagloria;  ostentazione,"
vanitós,"vanitoso,  vano,  vanèsio,  borioso;"
*vano  ( rust .),"guano,"
vantada,"vantazione,  vantamento;  vanteria;"
vantagiar,"vantaggiare,  profittare,  avvan¬"
vantagio,"vantaggio  ,  utile;  profitto  ;  so¬"
vantagiós,"vantaggioso,  giovevole,  profit¬"
vantar,"vantare,  donde  vantamento,  van¬"
vanzar,"avanzare,  esser  d’ avanzo,  sopra¬"
pure  avanzare.  V.  fbr,"sporgere;  risaltare,"
"donde  sporgenza,  risalto.  V.  sii",sopra¬
*vanzaròt,"avanzo,  rimasuglio;  spreg.  a-"
de  la  taòla,rilièvi.
vapór,vapore  ne'  vari  sensi:  gas  ( non  per¬
battello  a  vapore.  A  v.,a  vapore  anco
per  prestissimo.  Che  manda  v.,vaporoso.
"’varada,  varamént","il  vaiare,  l’ invaiolare,"
'varar,"divenir  vaio,  vaiare,  invaiolare"
(dell'  uva  etc.).  Ua  che  vara,"uva  vaia,"
‘vardabàs,"soppiattone,  ipòcrita."
'vardada,"sguardo,  guardata;  sbirciata  (in"
‘vardadina,guardatola  (p.  e.  digli  una
vardar,guardare  ne'  vari  sensi:  volger
al  has.  V.  alt.  V.  endrìo,guardare  ad¬
diètro.  Et  modo  de  v.,guardatura.  Farse
v.  drio,"far  dire  di  sé,  farsi  guardare  o"
a  nessuno.  No  v.  a  spese  etc.,non  badare
l'Io  v.  iant  per  cl  menù,non  guar¬
"a  inalimi,  a  mezdi  etc.","esser  volto ,"
guardare  a  mattina  etc.  Vaidarse,guar¬
star  lì  a  vardarse,stare  a  guardarsi  l’un
"il  corpo,  la  pancia.  Vardal",esclam.  di
hi-  esclam.  di  disappr.  di  stizza,o  guar¬
"da  !  Vàrdete  !  varda  i  pei,  e  simili",guàr-
"*varg,  vargo",passo  (come  misura  di  lun¬
vari,"alcuni,  vari,  parecchi,"
variar,"variare,  cambiare,  mutare,  modi¬"
varicela,"vaiolo  spùrio,  varicella,  vaio-"
varicós,"che  ha  delle  varici  (vene,  gam¬"
varietà,varietà;  moltiplicità.
*varòle  (femm .  plur.),vaiolo.  /  segni
che  Iosa  le  varale,bùtteri.
*varolós,butterato.  V.  varòle.
’varón,mozzetta  (pesce).
"’varòvi,  varòvo",gabbavillano  (uva).
"vas,  vaso","vaso,  anco  per  ampiezza,  ca¬"
Chi  fa  casi,vasaio.  Quantità  de  vasi  -
v.  a  n'  altro,"rinvasare,  rinvasamento."
"""vasa","succo  d’uva,  frutte  e  simili  pi¬"
"giate,  sugo.  Che  g’ha  molto  v.",sugoso.
vasca,"vasca,  conca;  bacinella  (delle  cu¬"
vasti,"vascèllo,  bastimento,"
vasét,"vasetto,  spreg.  vasuccio  ;  bòssolo,"
vasetìn,vaseltino.
*vason,"pelliccia,  cótica  (d‘  un  prato)."
Desfar  el  v.,"spellicciare,  scoticare  (un"
vastita,"vastità  ( astr .  di  vasto],  ampiezza,"
"vatel  a  pesca,  vatel  cérca",vattel'  a  pe¬
vatisapi,"chi  sa  mai,  vall’a  sappi,  vattel’  a"
*vaziva  (rust.),di  pècora  che  non  ancora
vè  vè!,"ve’,  veli!  ( minaccia ,  ammonii.)."
vecét,"vecchietto,  vecchierèllo,  Vezz.  vec-"
veceza,"vecchiaia,  vecchiezza.  Gran  e.  -"
veciàm,"vecchiume  (cosa  vecchia),  sec¬"
*veciamént,"in  passato,  a’  tempi  andati,"
ve<;ìn  ( agg .),"vicino,  accosto,  allato;  a-"
ve<;ìn  (prep.),vicino  ne'  cari  sensi:  pres¬
veejinanza,"vicinanza,  prossimità."
vernato,"vicinato,  spreg.  viciname."
vècio  (agg.),vècchio  ne'  vari  sensi:  che
gerecce,"escluse  C  erbe,  le  carni,  i  grassi"
seccaione  (del  magliàio).  A  la  vecia,alla
Che  g’  ha  del  v.,vecohiniccio.  De¬
ventar  v.,"diventar  v.,  invecchiare.  En"
’*•  i7.  veciamént.  Eser  v.  del  mister,es¬
è,"invecchiare,  rinvecchignire  (p.  e.  è  un"
rinvecchignisce).  Li  è  veda,"è  cosa  nota,"
"der,  tór  via  ’/  v.","svecchiarsi,  svecchiare."
"Lioba,  usanza  veda","roba,  usanza  smessa,"
vecchiume.  Saver  de  v.,"saper  di  vècchio,"
salem,"antico,  antichissimo;  vecchissimo,"
no  se  deventa,più  che  vècchi  non  si  cam¬
vècio  (sosti),"vècchio,  poet.  vegliardo."
V .  boto/a,"vecchio  barbògio,  dicco,  de¬"
crèpito;  prosperò},"prosperoso,  rubizzo’"
da  v.  sa,beata  quella  casa  che  sa  di
veción,"vecchione,  poel.  vegliardo,  spreg."
veciòt,"piuttosto  vecchio,  vecchiotto.  V."
vedimi,vecchiume;  rancidume.
"""vedación,  vedacioni",vilucchione;  vi¬
questo  senso  anche  vitella,la  pelle).  V.  da
"'vedèla,  vedelòta","vitella,  vitellina  ;  lat-"
"’vedelìn,  vedelòt","vitellino,  vitelietto."
"""veder",vedere  ne’  vari  sensi :  scorgere;
curare;  esaminare;  visitare.  Al  v.,a  quel
Che  no  se  pòi  g canea  v.  dal  picol,im¬
vede  tnt,"ouniveggente,  donde  onniveg¬"
genza.  En  t’  cn  v.  e  no  v.,"in  un  àttimo,"
"al  non  vedere.  Far  en  bel,  brut  v.",fare
"vedere,  aver  occhio.  Farla  v.",farla  ve¬
"dere,  far  stare  a  segno.  Far  v.","far  vedere,"
vedo,"di  chi  i  per  morire,  o  in  un  peri¬"
v.,"avere  antipatia,  non  poter  vedere,  pio"
poderse  v.  en  te  ’n  pads  etc.,non  gar¬
farse  pu  v.,"non  visitare,  non  incontrare,"
"non  esser  visitato,  far  vita  ritirata",non
non  farsi  più  vedere.  Ve'derghe,aver
"vista  sana,  vederci.  No  se  ghe  vede",è
pacitarsi.  Vedersela,"aspettarsela,  veder"
chi  s’ha  visti  s’/ia  vardadi,chi  s’  è  visto
s’  è  visto.  Visto  che,"visto,  considerato  che."
*védes,vétrice  (pianta).
vedeta,"vedetta;  scólta,"
"védov,  védova","védovo,  védova.  De  v."
vedovile.  Far  v.,vedovare  anco  fig.  Stato
de  v.,vedovanza.
vedovèla,"vedovella,  vedovimi,  (persona)."
vedovèla,"vedovina  selvatica,  scabbiosa"
♦vedreta,ghiacciaio.
*vedriaro,vetraio.
vedrina,"vetrina  ne’  vari  sensi;  di  bottega,"
vedriòl,"solfato  metallico,  vetriolo.  Oio"
de  v.,àcido  solfòrico.  V.  de  ;ipro  •  sol¬
vedriòla,vetriola  (erba).
vedrò  (sosl.),vetro.  Che  g’ha  del  v.  -
vetroso.  Far  deventar  v.,"vetrificare,  ve¬"
trificazione.  L'arte  del  v.,arte  vetraria.
Fabrica  de  vedri,vetreria.  Dar  na  vernìs
come  de  v.,"invetriare,  donde  invetriatura."
Os  de  vedri,vetrata;  de  v.  coloradi  -
vetrièra.  /  v.  de  le  finestre,vetri  delle
vedròt,"vetrino,  spreg.  vetruccio."
veduta,"veduta,  vista;  paesaggio,"
vegetar,"vegetare,  se  con  troppo  vigore"
vegetazión,vegetazione;  fiora  (il  com¬
vègeto,"vègeto,  prosperoso,  rubizzo  (di"
"""vegiar",vegliare.
veglión,veglione.
vegnir,"venire  ne’  vari  sensi:  arrivare,"
Conte  vèn  vèti,"a  casaccio,  a  vànvera,"
come  vièn  viene.  De  là  da  v.,"incerto,"
di  là  da  venire.  En  ».,"in  crescènza,"
sul  crescere;  en  bel  v.,"bene  avviato,  pro¬"
gna  avanti!,"far  passare,  passi  !  ( a  per¬"
"i  futuri,  i  pòsteri.  V.  a  tiro","capitare,"
der,"venir  voglia  di,  venir  da  piangere"
etc.  V.  fòr  o  fbra,"uscire,  venir  fuori,"
ghen  fbra,"venire  a  capo,  riuscire;  ven¬"
ghe  ’n  veglio,"comprendere,  capire  ( final¬"
(el  magnai  ),tornare  a  gola.  V’.  su  bèn
o  mal,"créscere,  venir  su,  v.  avanti,  ve¬"
V.  sul  bracai  F.  bracai.  V.  via.,pie¬
"garsi,  cèdere,  arrendersi.  V.  io","scendere,"
"vèn  io...  a  sèrie,  a  saga  etc.",vièn  giù...
vegnuda,"venuta,  arrivo."
'  végol  (rust.),"sorta  di  tralcio,  saéppolo,"
’vegro,"sodo,  incolto  (terreno),  donde"
‘yeia,veglia.  Li  èser  tra  la  ».  e  ’l  sin
"""velada","giubba,  scherz.  falda.  V.  a  eoa"
de  rondala,"giubba  a  coda,  a  coda  di"
‘veladina,faldino;  soprabituccio.
'veladón,"sopràbito,  accresc.  soprabitonc;"
‘veladoncin,soprabituccio.
velén,"veleno,"
velenós,"velenoso;  venèfico,"
velèt,"veletto,  spreg.  veluccio."
veleta,veletta.
’veluda,sbarra  (del  carro).
veludà,"vellutato,"
veludìn,"vellutino,"
veludo,velluto.
vena,"venti,  donde  venato,  venatura  ;  filone"
ser  en  ».,"in  vena,  molto  disposto,"
*vendaròl,"venditore,  commerciante;  ri¬"
* vendema,vendemmia  anco  fig.
’vendemar,vendemmiare.
‘vendemòta,vendemmiuccia.
vénder,véndere  ne'  vari  sensi:  cedere  a
rini,sbicchierare.  V.  a  strazamarcà  -
V.  far,"vendere  ogni  cosa,  liquidare."
Vénder  se,"lasciarsi  corrompere,  vendersi,"
esser  venale.  Averne  da  V.,averne  in
palla.  Roba  da  v.,vendereccia;  che  no  è
stada  venditela,invenduta;  che  se  poi  V.
-  vendibile;  che  no  s<  poi  V.,invendi¬
V.  na  roba,inonopòlio.
vendeta,"vendetta,  anco  per  cosa  mal"
vendicarse,"vendicarsi,  far,  trar  vendetta,"
ve  ridicati  v,"vendicativo,"
vendidór,"venditore,"
vendita,"vendita;  spaccio,  smèrcio."
*vendro,venerdì.
“veneranda  ( schers .),"giubba,  soprabito"
“vèneri.  En,"uno  spilorcio,  un  taccagno,"
venòta,"venetta,  venolina."
vènt,vènto;  brezza  (fredda  e  asciutta)y
brezzone  (forte  brekbd).  Colp  de  v.,buf¬
"fo,  rafforz.  sbuffo.  Furia  del  v.","furia,"
tramontana.  Vent  e  piòta,il  piòvere  a
bufèra.  Che  bon  v.ì,che  buon  vento  !
"Par ,  farse  v.","fare,  farsi  vento.  V.  ven¬"
tala.  Sofiar  del  v .,"solìiare,  spirare,  ti¬"
‘ventala,ventaglio  (</  Pistoia  ventaglia';
stecche.  Chi  fa  o  vende  ventale,venta¬
gliaio.  Aver  en  poc  de  v.,aver  del  paz¬
“ventalina,dimin.  di  ventala .
•ventaròl,capo  di  vite  lasciato  in  alto
“ventaròla,vèntola  {di  penne).
’ventesa,"vento  caldo,  sciròcco,"
ventesèl,"ventolino,  venticèllo,  brezzolina."
ventilada,ventilamento.
ventilar,"ventilare,  dare  aria,  dare  àsolo"
vcntilazión,ventilazione;  àsolo.  V'.  \ ven¬
vèntola,volazza.
ventolana,vcntolana  (pianta ).
ventosa,"ventosa,  coppetta,"
venturina,venturina.
"!  vera,  /ero",vero  ne’  vari  sensi:  confor¬
reale.  Che  no  par  v.,inverosimile  donde
inverosimiglianza.  Digo  V  v.,a  dire  il
"vero,  per  vero  dire.  L'  èy  no  V  è  vera",è
"vero,  non  è  etc.  Et  so  v.",il  modo  mi¬
v.  (di  desiderio  impaziente),non  parer  vero.
Salvo  7  v.,salvo  il  vero.  V.  verità.
*vera,anello;  cerchietto;  ghièra  (per
bastone  0  simile).  V.  da  sposa,anello
veramént,"veramente,  invero,"
veranda  (neol.),"veranda,"
verbena,verbena  (pianta).
vèrbo,vèrbo  (cosi  nel  senso  grammo t.
verd,"verde  (che  può  esser  verdechiaro,"
verdecupo  ctc.).  C he  irà  al  v.,verda¬
verdezza.  Esery  mostrarse  v.,verdeggiare
ri n verzicare.  V’.  da  la  rabia,chi  sì  róde
al  verde.  De  v.  indidia,di  verd’  indu¬
l'  erba,"verde  come  un  aglio,  come  un"
*verdalbara,verdèa  bianca  (uva).
verdemàr,"verdemare,"
verderàm,"verderame,"
verdesln,"verdolino,  verdiccio,"
verdezar,"verdeggiare,  verzicare.  V.  verd."
"verdìn,  verdòt","verdógnolo,  verdastro."
verdura,"ortaggio,  erbaggio,  anco  erba"
/érgene  !  v.  Maria  !  etc.,Santissima  Ver¬
vérgine,"vèrgine  donde  verginale,  vergi¬"
nità;  intatto;  al  bbg,"vérgine,  (era,  oio"
etc.  v.,"cera,  olio  etc.  vèrgine."
verginia,"virginia  (sigaro,  tabacco)."
vergogna,vergogna  ;  pudore  ;  peritanza  ;
gogna  marcia.  Senza  v.,"svergognato,"
vergognale,vergognarsi;  arrossire.
vergognóà,"vergognoso,  donde  vergogno¬"
'vérgola,"vetta.  V.  serciar;  bastone,"
"‘vergót,  vergota,  vergotina","alcunché,"
'vergùn  (antiq.),"qualcuno,  taluno."
verificar,"verificare,  accertarsi.  Verìftcarse"
verifìcazión,verificazione;  acccrtametìlo.
verità,verità;  sincerità;  realtà.  Chi  dis¬
ia  v.,"veritièro,  verace,  veridico,  donde"
"-  in  verità,  davvero.  A  dir  la  v.",par¬
la  ca',chi  vuol  saper  la  verità  ne  do¬
*vèrla  !,oh  !  zucche  !  corbézzole.  !
vermét,"vermicciòlo;  bacheròzzolo,"
verminosa,"febbre,  gastrica  verminosa,"
vèrmo,"vèrme,  lombrico  (della  tetra)',"
tario,"v.  solitario,  seleni,  tènia.  I  vermi"
(dei  bambini),"bachi,  donde  avere,  patire,"
contra  i  vermi,"vermifugo,"
vèrmut,"vèrmut,  vermulte."
vernaza,"vernaccia  (uva),  anco  per  il  vino."
",  vemìè","vernice,  lustro;  smalto;  appiastra-"
renza.  Le  v.,vescichette  (^prodotte  da
"vèrs,  versét","vèrso,  versetto,  versùcolo"
vèrs  (sost.'i,"voce  ( propria  degli  animali)’,"
gèmito.  Far  el  v.  de...,imitar  la  voce
vèrs  (sosti),"vèrso;  modo,  manièra,  guisa."
Al  v.,"in  punto,  appuntino,  ammodo;"
"adatto,  conveniènte.  A  che  v.?",come?
so  v.,"a  modo  mio,  suo,  a  sua  pòsta.  A  qual¬"
che  v.,"in  qualche  modo  o  manièra,  alla"
ciare).  A  sto  ».,"a  questo,  a  quel  modo,"
"in  tal  guisa,  modo,  cosi.  Mar  ai  V.",an¬
"ogni,  per  sto  v.","per  ogni,  per  questo"
verso  o  lato.  Tbr  per  el-  so  v.,prendere
pala  per  il  manico.  Trovar  el  v.,tro¬
i  è  vegnù  pu  al  vers,non  s’  é  più  la¬
*  versoli,"persona  casosa,  un  casoso  (chi"
vertenza  (neo!.),"contesa,  controvèrsia,"
"""vèrtu.  en","verso,  in  paragone,  a  rag¬"
*vèrtu  de  dizere!,"poffareddio !,  per  dinci!"
verza,cavolo  verzotto.  V.  capùs.  Vardar
en  le  v.,"essere  affetto  di  strabismo,  es¬"
"‘verzar,  veriara",cavolaia.
*verzata,verzottino.
vèrzeghe,volg.  esclam.  enf.  per  la  Ver¬
verzelìn,verzellino  (ttcc.J.
"""verzerave",cavolo  rapa.
'verzìcola,tratto  fortunatissimo  al  gioco.
véscov,"véscovo,  donde  vescovile,  l.'ofhi,"
el  palò 3  del  v.,vescovato.  Ogni  mori  de
v.,"di  rado,  a  lunghi  intervalli,  ogni"
v.,"(scherzi)  ho  adoperato  il  bastone,  la"
vesiga,vescica;  cocciòla  ( cagionata  da
vesigante,"vescicante,"
vesigantèl,vescicantino.
vesigheta,vescichetta;  gallòzzola.  V.
veslgona,vescicone  (anco  per  tumore  a!
vesibili,"trambusto,  disordine;  guazzabù¬"
vèspa,"vèspa,"
vespàr,"vespaio,  vespeto."
vésta,vèste;  gonnella;  sottana  (anco  de’
càmera,veste  da  càmera.  Star  tacà  a
la  v.  de  la  marna,star  sempre  cucito
alla  sottana  e/C.  Tirar  su  le  v.,alzar  la
sottana.  AJeter  la  v.,"farsi  prète,  met¬"
tersi  la  sottana.  Trar  io  la  v.,"spretarsi,"
vesti  (sosti,"vestito,  abito.  Vestiti  veci  -"
vestiari,vestiario.  Quel  che  dà  ’t  v.  pel¬
vestir,"vestire,  anco  per  fai  fare  gli"
ragazzi).  V.  su,"abbigliare,  vestire  in"
-  pararsi.  V.  tnasa  pesante,aggravarsi.
vestizión,"monacazione,  vestizione."
vestòta,"sottanélla,  gounelluccia  :  gonnel¬"
’veta,legame  con  cui  il  giogo  è  fissalo
‘vétola,"verga,  vetticciòla.  vettarèlla."
'vète!,"oh  guarda!  guarda!  fornii,  guà,"
vetura,vettura  ;  veicolo.
veturàl,vetturale  [di  merci).
veturln,"vetturino  [di  persone),  vetturale"
vezìlia,vigilia.
via,"via,  volta  ( moltiplicando ).  Tre  Via"
tre  fa  nove,tre  via  tre  fa  nove.
"via.  suvvia  !  andiamo  !  Via,  eh  via  !",per
non  vanno).  Via  che,"fuorché,  salvoché,"
tolto  il  caso  che.  Via  da  quela,per  di
"là,  per  quella  via.  Via.  de  là",di  là  {rid¬
non  è  buono  ad  altro.  Via  là,"lontano,"
via  là.  Via  via,"a  mano  a  mano,  via"
li  ’n  via,"da  quel  giorno  o  tempo  in  là,"
da  li  in  poi.  Da  que/a  via,in  quella
"via,  e  via  de  corsa",partenza  rapida....
na  '«  via,"se  n’  è  andato,  andò  in  là,"
fradel  en  via,"eccettuato,  tranne  mio"
E  via  così,"c  cosi  via,  e  via  dicendo."
Là  via,"là,  là  oltre,  da  quella  parte  (ac¬"
via  de...,"a,  per  cagione,  per  via  di  (p."
trattamenti).  Pu  'n  via,"più  in  là,  più"
"oltre,  più  lontano.  Qua  via","qui,  qua,"
via  crucis,via  crucis.
"""viàda","bacchio,  pèrtica.  Colp  de  v.  •  bac¬"
abbacchiare;  /’  operazión,abbacchiatura.
viàl,viale.
viandante,"viandante,  passeggèro,"
viàtico,viàtico.
"‘viaz,  viazo",viaggio;  escursione  ;  cammi¬
le  ( ità  etc.  che  se  vede  en  te  ‘n  o.,iti¬
v.  je  do  servisi,fare  un  viaggio  e  due
vtazador,"viaggiatore,"
viazar,"viaggiare;  andare;  girare,"
viazét,viaggetto.
vicari,"vicario,  donde  vicaria  (/’  uffizio),"
vicje,prefisso  a  nomi  per  indicare  che  fa
"vicevèrsa,  vicivèrsa",vicevèrsa  ;  al  con¬
vlcol,"vicolo,  viuzza,"
vidimar,"autenticare,  vidimare,  porre  il"
vidimazión,"autenticazione,  vidimazione,"
viena,Viénna  (città).  De  v.  (come  a  dire
in  misura  di  V.),"oltre  al  comune,  al"
vièro,"porco  da  razza,  vèrro,"
vigilar,"vigilare,  sorvegliare;  villeggiare,"
•vigilatura,villeggiatura.  User  cn  V.  -
giante.  Terminar  la  v.,anco  svilleg¬
Svigna,"vite  (generale),  vitigno  (partie."
di  trebbiano).  Vigna  da  radì's,barba¬
tèlla.  A  vigne,"a  viti,  vitato,  vignato"
(terreno).  Bòn  per  le  e.,vitifero  (ter¬
reno).  En  do  se  coltiva  le  v.,viticolo
-  viticultore;  chi  propr.  le  lavora,vi¬
gnaiolo.  Foia  de  v.,pompano.  Tor  so  le
foie  da  le  v.,"spampanare,  donde  spam¬"
^vignài,"vigneto,  vigila."
‘vignalét,vignetta.
"‘vignata,  vigneta,  vignòta",viticèlla.
vigogna.  De  ineia  v.,ili  mezzana  qua¬
vila,"villa,  villeggiatura;  villaggio,  paesèllo;"
frazione  idi  comune  rurale).  De  v.,vil¬
vilàn,"villano;  zotico,  screanzato;  piaz¬"
vilanada,"villania,  villanata;  contadinata;"
vilanàz,"villanzone,  villanaecio,  zoticaccio."
vile,"vile,  pegg.  vigliacco,  codardo,  donde"
vileta,villetta;  villino  ( nel  territorio
viltà,"viltà,  vigliaccheria,  codardia;  bas¬"
"De  t'.,  che  sa  da  v.","vinoso,  donde  vi-"
nosità.  Color  v.,"anco  vinato.  Et  far,"
el  modo  de  far  el  v.,vinificazione.  L'arte
de  far  el  ».,enologia  con  enòlogo.  Che
predili  v.,vinifero  (paese).  Chi  vénde  (en
"botega)  v,",vinaio.  El  teinp  quando  en
V.  l'  è  bon  da  be’ver,beva  (p.  e.  la  beva
fòt,"vino  artefatto  (a  rigore,  fatto  sen-"
bon,"sincero,  sano,  schiètto,  generoso  ;"
"brulé ,  cot","caldo,  cotto;  che  se  conserva"
sante;  che  pasa,passante;  che  sa  da  lega
"raspante,  brusco;  grei",austèro;  grès  -
"guasto,  vin  cercone;  pìcol","vinèllo,  volg."
"nito,  svaporato  ;  spumante",spumante.
Cavar  el  v.,attingere.  Chi  no  beve  mai
v.  Mei  v.,"mèzzo  vino,  mezzone.  V.  de"
pomi,sidro.  El  v.  i  è  V  lai  dei  veci  -
vinà,avvinato.
'vinària  (sost.  e  agg.),enològica  (società).
vinaròla,"conchetta,  tinòzza;  anco  per"
vinàz,vinaccio.
paonazzo.  Mal  de  la  v.,pcronòsporu.
vinazòl,vinacciòlo.
vincel,fascio  di  rami  fronzuti  e  più
vincer,vincere  ne'  vari  sensi;  superare;
"in  fin' ore.  Darla  vìnta ,  rust.  vensa",ce¬
vinge,chi  la  dura  la  vince.
*vlncol,giunco.  Sito  pica  de  vìncoi  -
vlncol,"vincolo,  legame;  servitù,"
vincolar,"vincolare,  obbligare,  legare,"
"vinét,  vinetin","vinetto,  vinettino."
*vinòt,"vinuccio,  vinùcolo."
'vinti,"venti,  donde  ventenne,  ventènnio."
ne  fa,"chi  di  venti  non  n’  ha,  di  trenta"
yiòla,viòla  (il  fiore)-.  \%lo  (la  pianta );
-  v.  doppia;  dal  corno,"fior  cappuccio,"
erba  cornetta;  de  veludo,v.  tricolore  ;
balda,violacciòcca  (fiore  V.  violar).  Sito
pien  de  viole,violaio.  Mar  en  bro'  de
